descricao;empenhado;liquidado;pago
"12363143810250000";"136.878,32";"47.138,00";"47.138,00"
"12363143810260000";"7.711.131,75";"6.547.035,37";"6.526.967,37"
"12363145080285068";"120.000,00";"120.000,00";"0,00"
"12363145080285209";"150.000,00";"150.000,00";"150.000,00"
"12363146580285214";"600.000,00";"600.000,00";"0,00"
"12363228620820000";"9.803.204,05";"8.799.371,16";"8.646.885,72"
"12365145080285194";"20.000,00";"20.000,00";"20.000,00"
"12365228920910000";"0,00";"0,00";"0,00"
"12366145080285207";"120.000,00";"120.000,00";"120.000,00"
"12368145080285089";"50.000,00";"50.000,00";"50.000,00"
"12368145080285124";"20.000,00";"20.000,00";"20.000,00"
"12368145080285173";"25.000,00";"25.000,00";"25.000,00"
"12368145080285174";"30.000,00";"30.000,00";"30.000,00"
"12368145080285175";"20.000,00";"20.000,00";"0,00"
"12368145080285185";"25.000,00";"25.000,00";"0,00"
"12368145080285186";"20.000,00";"20.000,00";"20.000,00"
"12368145080285188";"20.000,00";"20.000,00";"20.000,00"
"12368145080285257";"20.000,00";"20.000,00";"0,00"
"12368145080285258";"20.000,00";"20.000,00";"20.000,00"
"12368145080285306";"500.000,00";"500.000,00";"500.000,00"
"12368145080285403";"90.000,00";"90.000,00";"0,00"
"12571145080285157";"100.000,00";"100.000,00";"100.000,00"
"12571145080285159";"100.000,00";"100.000,00";"0,00"
"12571145080285275";"70.947,84";"70.947,84";"70.947,84"
"12813145080285240";"2.000.000,00";"2.000.000,00";"2.000.000,00"
"12813145080285271";"100.000,00";"100.000,00";"0,00"
"12813145080285354";"50.000,00";"50.000,00";"50.000,00"
"13122143512990000";"1.404.972,62";"488.144,08";"488.144,08"
"13391143280285099";"100.000,00";"0,00";"0,00"
"13392143212900000";"13.859.128,06";"13.823.847,85";"13.793.847,85"
"13392143212910000";"187.671,25";"187.671,25";"187.671,25"
"13392143212920000";"5.739.038,54";"5.097.489,30";"4.449.492,53"
"13392143212950000";"87.079,54";"83.190,73";"73.049,91"
"13392143212980000";"1.372.887,03";"1.372.887,03";"1.372.887,03"
"13392143213000000";"572,50";"572,50";"572,50"
"13392143280285050";"540.000,00";"540.000,00";"540.000,00"
"13392143280285097";"50.000,00";"50.000,00";"50.000,00"
"13392143280285210";"410.000,00";"410.000,00";"410.000,00"
"13392143280285215";"870.000,00";"870.000,00";"870.000,00"
"13392143280285227";"40.000,00";"0,00";"0,00"
"13392143280285228";"40.000,00";"40.000,00";"0,00"
"13392143280285256";"30.000,00";"30.000,00";"0,00"
"13392143280285267";"216.250,00";"216.250,00";"216.250,00"
"13392143280285373";"30.000,00";"30.000,00";"30.000,00"
"13392143280285376";"20.000,00";"20.000,00";"0,00"
"13392143280285384";"30.000,00";"30.000,00";"30.000,00"
"13392143280285385";"20.000,00";"20.000,00";"0,00"
"13392143280285417";"50.000,00";"50.000,00";"50.000,00"
"13392143280285422";"50.000,00";"50.000,00";"50.000,00"
"13392143280285426";"50.000,00";"50.000,00";"50.000,00"
"13392143280285436";"20.000,00";"20.000,00";"20.000,00"
"13392143512940000";"1.156.444,97";"856.729,86";"856.200,84"
"13392143680285015";"100.000,00";"100.000,00";"100.000,00"
"13392143680285019";"100.000,00";"100.000,00";"100.000,00"
"13392143680285022";"50.000,00";"50.000,00";"50.000,00"
"13392228622870000";"10.694.079,58";"9.993.860,81";"9.628.028,77"
"13392228920600000";"11.571.003,88";"11.571.003,88";"11.569.443,09"
"13813143280285346";"60.000,00";"60.000,00";"0,00"
"14122228620250000";"1.332.311,37";"926.069,77";"565.225,35"
"14122228621770000";"2.771.857,57";"2.409.844,67";"2.393.401,78"
"14128143320230000";"317.465,91";"306.345,91";"257.168,13"
"14128143320800000";"68.340,21";"67.340,21";"49.116,71"
"14128143321190000";"2.390,00";"2.390,00";"0,00"
"14128143321780000";"34.469,77";"32.269,77";"32.269,77"
"14128146111440000";"16.284,95";"15.586,96";"8.056,96"
"14243143410070000";"11.053.153,22";"7.921.431,32";"7.220.054,61"
"14243143410080000";"46.120,19";"46.120,19";"44.545,82"
"14243143510110000";"245.803,20";"237.345,40";"237.345,40"
"14243228920640000";"22.382.010,04";"22.382.010,04";"22.380.031,51"
"14331143310100000";"50.000,00";"50.000,00";"50.000,00"
"14333146180285168";"99.360,00";"0,00";"0,00"
"14334146111450000";"639.442,75";"116.201,57";"90.273,82"
"14421144911530000";"274.607,42";"274.607,42";"274.607,42"
"14422143910270000";"146.047,63";"135.457,63";"129.160,15"
"14422143910280000";"40.656,18";"40.656,18";"38.079,94"
"14422143910290000";"255.010,70";"212.635,89";"212.635,89"
"14422143910300000";"25.230,00";"1.120,00";"1.120,00"
"14422143910350000";"58.212,00";"58.212,00";"58.212,00"
